"time","k","c"
36.9,3.96234107462627,1.24116871172754
37,3.96404198249687,1.2412411205913
37.1,3.96574447004281,1.24131119254506
37.2,3.96744877326164,1.24137892653698
37.3,3.96915512946512,1.24144432120635
37.4,3.97086377731337,1.24150737488261
37.5,3.97257495684927,1.24156808558439
37.6,3.97428890953312,1.24162645101846
37.7,3.97600587827747,1.24168246857867
37.8,3.97772610748237,1.24173613534489
37.9,3.97944984307065,1.24178744808186
38,3.98117733252364,1.24183640323804
38.1,3.98290882491706,1.24188299694448
38.2,3.98464457095717,1.24192722501353
38.3,3.98638482301721,1.24196908293768
38.4,3.98812983517408,1.24200856588824
38.5,3.98987986324529,1.24204566871408
38.6,3.99163516482619,1.24208038594027
38.7,3.99339599932744,1.24211271176675
38.8,3.99516262801279,1.24214264006693
38.9,3.99693531403708,1.24217016438632
39,3.99871432248457,1.24219527794102
39.1,4.0004999204075,1.24221797361634
39.2,4.00229237686494,1.24223824396526
39.3,4.00409196296195,1.24225608120692
39.4,4.00589895188895,1.24227147722508
39.5,4.00771361896143,1.24228442356656
39.6,4.00953624165994,1.24229491143966
39.7,4.01136709967032,1.2423029317125
39.8,4.01320647492422,1.24230847491143
39.9,4.01505465163997,1.24231153121934
40,4.01691191636366,1.24231209047396
